,state,act_2017_participation,act_2017_english,act_2017_math,act_2017_reading,act_2017_science,act_2017_composite,sat_2017_participation,sat_2017_reading_writing,sat_2017_math,sat_2017_total,act_2018_participation,act_2018_composite,sat_2018_participation,sat_2018_reading_writing,sat_2018_math,sat_2018_total
24,Mississippi,100.0,18.2,18.1,18.8,18.8,18.6,3.0,640.0,631.0,1271.0,100.0,18.6,4.0,633.0,629.0,1262.0
25,Missouri,100.0,19.8,19.9,20.8,20.5,20.4,10.0,605.0,591.0,1196.0,100.0,20.0,10.0,606.0,592.0,1198.0
26,Montana,100.0,19.0,20.2,21.0,20.5,20.3,3.0,629.0,625.0,1253.0,100.0,20.0,3.0,629.0,623.0,1252.0
27,Nebraska,84.0,20.9,20.9,21.9,21.5,21.4,26.0,563.0,553.0,1116.0,100.0,20.1,23.0,574.0,566.0,1140.0
28,Nevada,100.0,16.3,18.0,18.1,18.2,17.8,96.0,532.0,520.0,1052.0,100.0,17.7,96.0,535.0,528.0,1063.0
29,New Hampshire,18.0,25.4,25.1,26.0,24.9,25.5,70.0,530.0,526.0,1056.0,16.0,25.1,82.0,547.0,547.0,1094.0
30,New Jersey,34.0,23.8,23.8,24.1,23.2,23.9,11.0,577.0,561.0,1138.0,31.0,23.7,16.0,552.0,540.0,1093.0
31,New Mexico,66.0,18.6,19.4,20.4,20.0,19.7,67.0,528.0,523.0,1052.0,67.0,19.4,79.0,534.0,534.0,1068.0
32,New York,31.0,23.8,24.0,24.6,23.9,24.2,49.0,546.0,535.0,1081.0,27.0,24.5,52.0,554.0,543.0,1098.0
33,North Carolina,100.0,17.8,19.3,19.6,19.3,19.1,2.0,635.0,621.0,1256.0,100.0,19.1,2.0,640.0,643.0,1283.0
34,North Dakota,98.0,19.0,20.4,20.5,20.6,20.3,12.0,578.0,570.0,1149.0,98.0,20.3,8.0,541.0,521.0,1062.0
35,Ohio,75.0,21.2,21.6,22.5,22.0,22.0,7.0,530.0,517.0,1047.0,100.0,20.3,18.0,552.0,547.0,1099.0
36,Oklahoma,100.0,18.5,18.8,20.1,19.6,19.4,43.0,560.0,548.0,1108.0,100.0,19.3,48.0,564.0,553.0,1117.0
37,Oregon,40.0,21.2,21.5,22.4,21.7,21.8,65.0,540.0,531.0,1071.0,42.0,21.3,70.0,547.0,539.0,1086.0
38,Pennsylvania,23.0,23.4,23.4,24.2,23.3,23.7,71.0,539.0,524.0,1062.0,20.0,23.5,97.0,513.0,505.0,1018.0
39,Rhode Island,21.0,24.0,23.3,24.7,23.4,24.0,50.0,543.0,521.0,1064.0,15.0,24.2,55.0,547.0,523.0,1070.0
40,South Carolina,100.0,17.5,18.6,19.1,18.9,18.7,3.0,612.0,603.0,1216.0,100.0,18.3,3.0,622.0,618.0,1240.0
41,South Dakota,80.0,20.7,21.5,22.3,22.0,21.8,5.0,623.0,604.0,1228.0,77.0,21.9,6.0,624.0,607.0,1231.0
42,Tennessee,100.0,19.5,19.2,20.1,19.9,19.8,62.0,513.0,507.0,1020.0,100.0,19.6,66.0,520.0,512.0,1032.0
43,Texas,45.0,19.5,20.7,21.1,20.9,20.7,3.0,624.0,614.0,1238.0,45.0,20.7,4.0,480.0,530.0,1010.0
44,Utah,100.0,19.5,19.9,20.8,20.6,20.3,60.0,562.0,551.0,1114.0,100.0,20.4,64.0,565.0,554.0,1120.0
45,Vermont,29.0,23.3,23.1,24.4,23.2,23.6,65.0,561.0,541.0,1102.0,24.0,24.1,68.0,567.0,550.0,1117.0
46,Virginia,29.0,23.5,23.3,24.6,23.5,23.8,64.0,541.0,534.0,1075.0,24.0,23.9,69.0,543.0,538.0,1081.0
47,Washington,29.0,20.9,21.9,22.1,22.0,21.9,14.0,558.0,528.0,1086.0,24.0,22.2,28.0,513.0,486.0,999.0
48,West Virginia,69.0,20.0,19.4,21.2,20.5,20.4,3.0,642.0,649.0,1291.0,65.0,20.3,3.0,641.0,653.0,1294.0
49,Wisconsin,100.0,19.7,20.4,20.6,20.9,20.5,3.0,626.0,604.0,1230.0,100.0,20.5,3.0,633.0,625.0,1257.0
50,Wyoming,100.0,19.4,19.8,20.8,20.6,20.2,,,,,100.0,20.0,,,,
